voice,dtw,duration,zcr,wer,cer,label
64,6.9123,3.136,0.0117,0.7143,0.2364,Bad
67,6.8561,7.328,0.0027,0.7619,0.2047,Bad
71,6.7505,3.776,0.003,0.4167,0.1548,Bad
72,6.5112,6.624,0.0036,0.6316,0.1377,Bad
76,6.5895,3.808,0.0006,0.4615,0.1375,Bad
78,6.4802,3.424,0.0099,0.8,0.3284,Bad
80,6.4561,2.24,0.0361,0.5,0.2115,Bad
83,6.7872,3.488,0.0824,0.1667,0.1818,Bad
84,7.0993,13.376,0.0061,0.5,0.1333,Bad
85,6.8182,2.688,0.0163,0.3333,0.1132,Bad
92,6.5684,2.304,0.0095,0.1538,0.0357,Bad
94,7.0452,1.088,0.0102,0.6667,0.2281,Bad
95,6.9051,9.408,0.0006,0.5789,0.2295,Bad
97,6.4983,5.5787,0.0064,0.1875,0.0645,Bad
102,6.3793,1.3839,0.0098,0.6,0.25,Bad
109,6.7824,5.408,0.01,0.3571,0.099,Bad
113,6.659,4.608,0.0224,0.4167,0.1,Bad
117,6.649,3.68,0.0011,0.5,0.0816,Bad
118,6.7661,2.88,0.0019,0.4286,0.0698,Bad
119,6.8715,12.0,0.0284,0.381,0.0547,Bad
121,6.7288,4.416,0.0496,0.1333,0.0312,Bad
123,6.5102,3.52,0.0109,0.4545,0.125,Bad
132,6.5498,7.4454,0.0252,0.65,0.129,Bad
137,7.008,4.928,0.025,0.5294,0.1193,Bad
141,6.7958,0.992,0.0468,0.5,0.1,Bad
149,6.6865,9.024,0.0148,0.4444,0.1043,Bad
151,7.0694,4.544,0.0356,0.5556,0.1636,Bad
154,6.669,4.192,0.0059,0.6,0.2313,Bad
165,6.5482,2.816,0.0047,0.4762,0.0822,Bad
167,6.976,5.1841,0.031,0.4444,0.1786,Bad
64,6.6477,1.888,0.0031,0.5714,0.1273,Good
67,6.4746,3.872,0.009,0.2857,0.063,Good
71,6.4329,0.864,0.0025,0.25,0.0595,Good
72,6.0868,1.248,0.0099,0.2632,0.0725,Good
76,6.1482,0.416,0.0153,0.3846,0.075,Good
78,6.2414,1.856,0.0023,0.5,0.1418,Good
80,6.0736,2.432,0.0235,0.125,0.0962,Good
83,5.6798,0.48,0.0212,0.0,0.0,Good
84,6.7044,3.616,0.0057,0.1429,0.0222,Good
85,6.0831,1.248,0.0179,0.0,0.0,Good
92,6.3986,2.144,0.0133,0.0769,0.0119,Good
94,6.8565,1.216,0.0143,0.6667,0.1053,Good
95,6.404,2.24,0.0196,0.3158,0.0574,Good
97,6.2458,1.6,0.0198,0.1875,0.0645,Good
102,6.5476,1.2239,0.0033,0.4,0.0625,Good
109,6.5313,3.552,0.0097,0.1429,0.0297,Good
113,5.8363,2.048,0.0242,0.0833,0.0286,Good
117,6.4945,1.184,0.0149,0.125,0.0204,Good
118,6.7047,2.464,0.0041,0.0,0.0,Good
119,6.3783,1.312,0.0233,0.1905,0.0234,Good
121,6.557,2.112,0.0492,0.0667,0.0104,Good
123,6.0817,0.928,0.0021,0.0909,0.0139,Good
132,5.8845,2.88,0.0153,0.45,0.1048,Good
137,6.9415,0.512,0.0185,0.2941,0.0459,Good
141,6.3731,1.088,0.0496,0.1667,0.05,Good
149,6.401,3.2854,0.0152,0.1667,0.0435,Good
151,6.5157,2.304,0.0518,0.2222,0.0545,Good
154,6.1697,2.528,0.0052,0.1,0.0373,Good
165,6.361,1.888,0.0026,0.2381,0.0411,Good
167,6.7067,3.36,0.0418,0.2222,0.0357,Good
