voice,dtw,wer,cer,label
71,6.6794,0.5833,0.0714,Good
76,6.6084,0.2308,0.05,Good
80,6.068,0.25,0.0577,Good
83,5.8201,0.3333,0.0303,Good
97,6.4167,0.5,0.086,Good
102,6.6461,0.4,0.0625,Good
109,6.62,0.2143,0.0396,Good
113,5.9955,0.0833,0.0286,Good
117,6.8377,0.25,0.0408,Good
123,6.4203,0.3636,0.0417,Good
141,6.5966,0.0,0.0,Good
71,6.9046,0.5,0.131,Bad
76,6.8492,0.2308,0.0875,Bad
80,6.4973,0.625,0.1731,Bad
83,6.3329,0.1667,0.1818,Bad
97,6.5129,0.4375,0.086,Bad
102,6.4798,0.8,0.3125,Bad
109,6.8341,0.3571,0.1188,Bad
113,6.7161,0.3333,0.1143,Bad
117,6.7825,0.5,0.102,Bad
123,6.5859,0.4545,0.0833,Bad
141,6.8287,0.3333,0.05,Bad
